iter	Passed	Remaining
1475	6047	98
1476	6050	94
1477	6054	90
1478	6058	86
1479	6061	81
1480	6065	77
1481	6070	73
1482	6074	69
1483	6077	65
1484	6081	61
1485	6085	57
1486	6088	53
1487	6093	49
1488	6097	45
1489	6101	40
1490	6105	36
1491	6109	32
1492	6113	28
1493	6116	24
1494	6120	20
1495	6124	16
1496	6128	12
1497	6133	8
1498	6137	4
1499	6141	0
